student_id,q1_easy_good,q2_hard_good,q3_too_easy,q4_too_hard,q5_miskeyed,q6_moderate_good,q7_all_correct,q8_all_wrong
S01,0,0,0,0,1,0,1,0
S02,0,0,1,0,1,0,1,0
S03,0,0,1,0,1,0,1,0
S04,1,0,1,0,1,0,1,0
S05,1,0,1,0,1,0,1,0
S06,1,0,1,0,1,0,1,0
S07,1,0,1,0,0,0,1,0
S08,1,0,1,0,0,0,1,0
S09,1,0,1,0,0,0,1,0
S10,1,0,1,0,0,0,1,0
S11,1,0,1,0,0,0,1,0
S12,1,0,1,0,0,0,1,0
S13,1,0,1,0,0,1,1,0
S14,1,0,1,0,0,1,1,0
S15,1,0,1,0,0,1,1,0
S16,1,0,1,0,0,1,1,0
S17,1,0,1,0,0,1,1,0
S18,1,0,1,0,0,1,1,0
S19,1,1,1,0,0,1,1,0
S20,1,1,1,0,0,1,1,0
S21,1,1,1,0,0,1,1,0
S22,1,1,1,0,0,1,1,0
S23,1,1,1,1,0,1,1,0
S24,1,1,1,1,0,1,1,0
