Activity Type,Date,Distance,Calories,Time
Running,2026-07-20 06:45:00,8.05,620,42.5
Golf,2026-07-21 09:00:00,0,380,180.0
Running,2026-07-22 06:30:00,5.0,410,28.1
Running,2026-07-24 06:50:00,10.1,780,58.3
Golf,2026-07-25 08:30:00,0,410,195.0
Running,2026-07-27 06:40:00,6.4,510,35.0
Running,2026-07-29 06:45:00,8.2,630,44.0
Golf,2026-07-31 09:15:00,0,400,190.0
Running,2026-08-04 06:30:00,5.2,420,29.0
Running,2026-08-05 06:35:00,7.0,550,38.5
Golf,2026-08-06 08:45:00,0,395,185.0
Running,2026-08-08 06:20:00,12.0,920,68.0
Running,2026-08-09 06:40:00,6.1,480,33.5
Running,2026-08-10 07:00:00,9.0,700,50.0
