Activity Type,Date,Favorite,Title,Distance,Calories,Time
Running,2026-08-18 06:32:11,false,Morning Run,5.02,412,00:28:14
Running,2026-08-19 06:15:03,false,Morning Run,6.10,498,00:34:02
Strength Training,2026-08-19 17:40:22,false,Evening Lift,0.00,265,00:41:10
Running,2026-08-20 06:20:45,false,Morning Run,4.85,401,00:27:03
Golf,2026-08-02 09:05:00,false,Weekend Round,0.00,880,04:12:00
Golf,2026-08-09 08:55:00,false,Weekend Round,0.00,910,04:05:00
Golf,2026-08-16 09:10:00,false,Weekend Round,0.00,895,04:18:00
Running,2026-08-21 06:18:52,false,Morning Run,5.15,420,00:28:55
Strength Training,2026-08-14 17:30:10,false,Evening Lift,0.00,270,00:39:44
Strength Training,2026-08-21 18:02:33,false,Evening Lift,0.00,258,00:40:12
Cycling,2026-08-10 07:00:00,false,Weekend Ride,32.40,1120,01:45:00
Running,2026-08-05 06:10:00,false,Morning Run,5.00,405,00:28:00
Running,2026-08-06 06:12:00,false,Morning Run,5.05,410,00:28:20
Strength Training,2026-08-07 17:20:00,false,Evening Lift,0.00,260,00:38:50
Running,2026-08-01 06:05:00,false,Morning Run,4.90,398,00:27:40
Golf,2026-07-26 09:00:00,false,Weekend Round,0.00,870,04:10:00
Running,2026-08-11 06:22:00,false,Morning Run,5.30,430,00:29:10
Strength Training,2026-08-02 17:15:00,false,Evening Lift,0.00,255,00:37:30
Running,2026-08-13 06:19:00,false,Morning Run,5.10,415,00:28:30
Golf,2026-08-23 09:00:00,false,Weekend Round,0.00,900,04:15:00
Cycling,2026-08-24 07:15:00,false,Recovery Ride,18.20,610,01:02:00
