topic,project_num,core_project_num,title,fiscal_year,award_amount,org_name,org_city,org_state,org_country,pi_names,agency_ic,start_date,end_date
affective neuroscience,1R01MH100020-01,R01MH100020,Sample synthetic project #20 on affective neuroscience,2026,661879.87,McGill University,Montreal,QC,Canada,Jane Bianchi,National Institute of Mental Health,2026-04-01,2030-03-31
affective neuroscience,1R01MH100015-01,R01MH100015,Sample synthetic project #15 on affective neuroscience,2025,720084.89,University of Toronto,Toronto,ON,Canada,Priya Researcher; Wei Singh,National Institute of Mental Health,2025-04-01,2029-03-31
affective neuroscience,1R01MH100019-01,R01MH100019,Sample synthetic project #19 on affective neuroscience,2025,645608.82,Yale University,New Haven,CT,United States,Elena Holt,National Institute of Mental Health,2025-04-01,2029-03-31
affective neuroscience,1R01MH100023-01,R01MH100023,Sample synthetic project #23 on affective neuroscience,2025,340200.03,University of Toronto,Toronto,ON,Canada,Wei Researcher; David Okafor,National Institute on Drug Abuse,2025-04-01,2029-03-31
affective neuroscience,1R01MH100016-01,R01MH100016,Sample synthetic project #16 on affective neuroscience,2024,308569.12,King's College London,London,,United Kingdom,Elena Nowak,National Institute on Drug Abuse,2024-04-01,2028-03-31
affective neuroscience,1R01MH100021-01,R01MH100021,Sample synthetic project #21 on affective neuroscience,2024,567537.47,King's College London,London,,United Kingdom,Elena Bianchi,National Institute of Neurological Disorders and Stroke,2024-04-01,2028-03-31
affective neuroscience,1R01MH100013-01,R01MH100013,Sample synthetic project #13 on affective neuroscience,2023,195225.54,King's College London,London,,United Kingdom,Jane Chen; Wei Singh,National Institute of Mental Health,2023-04-01,2027-03-31
affective neuroscience,1R01MH100018-01,R01MH100018,Sample synthetic project #18 on affective neuroscience,2023,487276.01,King's College London,London,,United Kingdom,David Singh,National Institute of Neurological Disorders and Stroke,2023-04-01,2027-03-31
affective neuroscience,1R01MH100022-01,R01MH100022,Sample synthetic project #22 on affective neuroscience,2022,665998.11,Harvard Medical School,Boston,MA,United States,Priya Bianchi,National Institute on Drug Abuse,2022-04-01,2026-03-31
affective neuroscience,1R01MH100014-01,R01MH100014,Sample synthetic project #14 on affective neuroscience,2021,271672.53,University of Wisconsin-Madison,Madison,WI,United States,Aisha Okafor,National Institute on Drug Abuse,2021-04-01,2025-03-31
affective neuroscience,1R01MH100012-01,R01MH100012,Sample synthetic project #12 on affective neuroscience,2020,210785.35,University of Toronto,Toronto,ON,Canada,Elena Holt,National Institute of Mental Health,2020-04-01,2024-03-31
affective neuroscience,1R01MH100017-01,R01MH100017,Sample synthetic project #17 on affective neuroscience,2020,268249.76,University of Toronto,Toronto,ON,Canada,Marcus Okafor,National Institute of Neurological Disorders and Stroke,2020-04-01,2024-03-31
empathy neuroscience,1R01MH100024-01,R01MH100024,Sample synthetic project #24 on empathy neuroscience,2024,307206.34,Yale University,New Haven,CT,United States,Jane Singh,National Institute of Mental Health,2024-04-01,2028-03-31
empathy neuroscience,1R01MH100026-01,R01MH100026,Sample synthetic project #26 on empathy neuroscience,2024,177986.74,University of Toronto,Toronto,ON,Canada,Jane Holt,National Institute of Neurological Disorders and Stroke,2024-04-01,2028-03-31
empathy neuroscience,1R01MH100030-01,R01MH100030,Sample synthetic project #30 on empathy neuroscience,2023,185813.26,King's College London,London,,United Kingdom,Aisha Singh,National Institute on Drug Abuse,2023-04-01,2027-03-31
empathy neuroscience,1R01MH100032-01,R01MH100032,Sample synthetic project #32 on empathy neuroscience,2023,546781.32,Harvard Medical School,Boston,MA,United States,Jane Holt; Jane Nowak,National Institute of Neurological Disorders and Stroke,2023-04-01,2027-03-31
empathy neuroscience,1R01MH100029-01,R01MH100029,Sample synthetic project #29 on empathy neuroscience,2022,305040.01,King's College London,London,,United Kingdom,Marcus Martinez; Sam Nowak,National Institute on Drug Abuse,2022-04-01,2026-03-31
empathy neuroscience,1R01MH100025-01,R01MH100025,Sample synthetic project #25 on empathy neuroscience,2021,431938.71,University of Wisconsin-Madison,Madison,WI,United States,Priya Chen,National Institute of Neurological Disorders and Stroke,2021-04-01,2025-03-31
empathy neuroscience,1R01MH100027-01,R01MH100027,Sample synthetic project #27 on empathy neuroscience,2021,316288.75,King's College London,London,,United Kingdom,Marcus Researcher,National Institute of Mental Health,2021-04-01,2025-03-31
empathy neuroscience,1R01MH100028-01,R01MH100028,Sample synthetic project #28 on empathy neuroscience,2021,193312.85,Harvard Medical School,Boston,MA,United States,Aisha Chen,National Institute on Drug Abuse,2021-04-01,2025-03-31
empathy neuroscience,1R01MH100031-01,R01MH100031,Sample synthetic project #31 on empathy neuroscience,2020,381948.26,McGill University,Montreal,QC,Canada,Aisha Chen,National Institute on Drug Abuse,2020-04-01,2024-03-31
forensic neuroscience,1R01MH100044-01,R01MH100044,Sample synthetic project #44 on forensic neuroscience,2025,250102.48,University of Wisconsin-Madison,Madison,WI,United States,Priya Chen,National Institute on Drug Abuse,2025-04-01,2029-03-31
forensic neuroscience,1R01MH100047-01,R01MH100047,Sample synthetic project #47 on forensic neuroscience,2024,563358.59,McGill University,Montreal,QC,Canada,Jane Researcher,National Institute on Drug Abuse,2024-04-01,2028-03-31
forensic neuroscience,1R01MH100042-01,R01MH100042,Sample synthetic project #42 on forensic neuroscience,2023,312912.78,University of Toronto,Toronto,ON,Canada,Jane Chen,National Institute of Neurological Disorders and Stroke,2023-04-01,2027-03-31
forensic neuroscience,1R01MH100043-01,R01MH100043,Sample synthetic project #43 on forensic neuroscience,2023,636992.27,Harvard Medical School,Boston,MA,United States,Marcus Bianchi,National Institute of Mental Health,2023-04-01,2027-03-31
forensic neuroscience,1R01MH100046-01,R01MH100046,Sample synthetic project #46 on forensic neuroscience,2023,515494.30,King's College London,London,,United Kingdom,Marcus Okafor; Wei Martinez,National Institute on Drug Abuse,2023-04-01,2027-03-31
